SMILES,DILI
COc1ccccc1OCC(O)CN2CCN(CC(=O)Nc3c(C)cccc3C)CC2,0
C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,0
C[N+]1(C)C2CC(CC1C3OC23)OC(=O)C(CO)c4ccccc4,0
CN(C)CCOC(C)(c1ccccc1)c2ccccn2,0
CC(C)NCC(O)c1ccc(O)c(O)c1,0
CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,1
OC1=NC(=O)C(N1)(c2ccccc2)c3ccccc3,1
CC(COc1ccccc1)N(CCCl)Cc2ccccc2,0
CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1,1
CCc1oc2ccccc2c1C(=O)c3cc(I)c(O)c(I)c3,1
NC[C@H](O)c1ccc(O)c(O)c1,0
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc(cc5)N(C)C,0
CCN1CC(CCN2CCOCC2)C(C1=O)(c3ccccc3)c4ccccc4,0
CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCc2c(C)c(O)c(C)c(C)c2O1,0
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,1
CC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N5CCOCC5)[N+]6(CC=C)CCCC6,0
NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O,0
OC(=O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,1
ONC(=O)CCCCCCC(=O)Nc1ccccc1,0
OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F,1
CC1(C)NC(=O)N(C1=O)c2ccc(c(c2)C(F)(F)F)N(=O)=O,1
C[C@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc2ccc(C#N)c(c2)C(F)(F)F,1
NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,0
CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,0
C[C@]12CC[C@H]3[C@@H](CC(=C)C4=CC(=O)C=C[C@]34C)[C@@H]1CCC2=O,1
CCOC(=O)C1(CCN(CCC(C#N)(c2ccccc2)c3ccccc3)CC1)c4ccccc4,0
NCCc1ccc(O)cc1,0
CC(=O)Oc1ccccc1C(=O)Nc2ncc(s2)N(=O)=O,0
Clc1ccc2nsnc2c1NC3=NCCN3,1
C[C@H](N)Cc1ccccc1,0
COc1cc(ccc1Cc2cn(C)c3ccc(NC(=O)OC4CCCC4)cc23)C(=O)NS(=O)(=O)c5ccccc5C,1
CC(C)C(=O)Nc1ccc(c(c1)C(F)(F)F)N(=O)=O,1
OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,0
CNC(=O)Oc1ccc2N(C)[C@H]3N(C)CC[C@@]3(C)c2c1,0
CN1CCCN=C1C=Cc2cccs2,0
CN[C@@H](C)[C@H](O)c1ccccc1,0
CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)c2ccccc2,1
CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34,0
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@H]2O,1
Oc1ccc2c(Oc3cc(O)ccc3C24OC(=O)c5ccccc45)c1,0
CN(C)CC[C@@H](c1ccc(Cl)cc1)c2ccccn2,0
OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,0
CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,0
C[C@@H](c1ncncc1F)[C@](O)(Cn2cncn2)c3ccc(F)cc3F,1
COc1cc2CC[N+](C)(CCCOC(=O)CCC=CCCC(=O)OCCC[N+]3(C)CCc4cc(OC)c(OC)cc4[C@H]3Cc5cc(OC)c(OC)c(OC)c5)[C@H](Cc6cc(OC)c(OC)c(OC)c6)c2cc1OC,0
FC(F)(F)[C@]1(OC(=O)Nc2ccc(Cl)cc12)C#CC3CC3,1
NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@@H]3CCC(=O)N3,0
CCC(C)CCCCC(=O)NC(CCN)C(=O)NC(C(C)O)C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(NC(=O)C(CCN)NC(=O)C(CCN)NC(=O)C(CC(C)C)NC(=O)C(Cc2ccccc2)NC(=O)C(CCN)NC1=O)C(C)O,0
CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)C=C(C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)C=CC=CC=C(C)[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N4CCCC[C@H]4C(=O)O2)OC)CC[C@H]1OC(=O)C(C)(CO)CO,0
COc1ccc(C[C@@H]2c3cc(OC)c(OC)cc3CC[N@@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@+]4(C)CCc5cc(OC)c(OC)cc5[C@H]4Cc6ccc(OC)c(OC)c6)cc1OC,0
CC(N)C12CC3CC(CC(C3)C1)C2,0
COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC,1
CN1CCC(CC1)Nc2ncc3ncnc(Nc4ccc(F)c(Cl)c4)c3n2,1
CC(=O)N1CCN(CC1)c2ccc(OC[C@@H]3CO[C@](Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2,1
CN1CCCC(CN2c3ccccc3Sc4ccccc24)C1,1
OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23,1
C[N+](C)(C)CC([O-])=O,0
C(C(C(C(C(CO)O)O)O)O)O,0
NCCCCCC(O)=O,0
CC(=O)Nc1nnc(s1)S(N)(=O)=O,1
CC(C)C1NC(=O)C(NC(=O)c2ccc(C)c3oc4c(C)c(=O)c(N)c(C(=O)NC5C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C6CCCN6C(=O)C(NC5=O)C(C)C)c4nc23)C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C7CCCN7C1=O,1
NCCCC(O)(P(O)(O)=O)P(O)(O)=O,0
CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(O)=O)c1I,0
NCCCNCCSP(O)(O)=O,0
Cn1c2nc[nH]c2c(=O)n(C)c1=O,0
Cn1cnc(c1Sc2ncnc3nc[nH]c23)N(=O)=O,1
C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=N2)OCC(=O)O,1
CC(C[N+](C)(C)C)OC(N)=O,0
C1CCN(CC1)CCC(C2CC3CC2C=C3)(C4=CC=CC=C4)O,0
CC(=O)Oc1ccc(cc1)C(c2ccc(OC(C)=O)cc2)c3ccccn3,0
CS(=O)(=O)OCCCCOS(C)(=O)=O,1
CCCC(C)(COC(N)=O)COC(=O)NC(C)C,0
CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,0
Oc1nc2cc(Cl)ccc2o1,1
CC(=O)Oc1ccc(cc1)C(=C2CCCCC2)c3ccc(OC(C)=O)cc3,1
C1C(=O)NC(=O)N1N=CC2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-],1
OC(=O)c1cc(ccc1O)-c2ccc(F)cc2F,1
C(C(CS)S)O,0
CCCC(CCC)C(O)=O,1
Fc1ccc(cc1)C(=O)CCCN2CCC(=CC2)n3c4ccccc4[nH]c3=O,0
Cn1c2ncn(CC(O)CO)c2c(=O)n(C)c1=O,0
Clc1ccc-2c(c1)C(=NCc3nncn-23)c4ccccc4,0
CC[C@@H](CO)NCCN[C@H](CC)CO,1
CCc1cccc2c3CCOC(CC)(CC(O)=O)c3[nH]c12,1
NC(=O)OCC(COC(N)=O)c1ccccc1,1
Oc1ccc(cc1)C1CNCCc2c(Cl)c(O)c(O)cc12,0
CC(C(O)=O)c1cccc(Oc2ccccc2)c1,1
CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O,0
Cc1c(oc2c(cccc2c1=O)C(=O)OCCN3CCCCC3)-c4ccccc4,0
CCOC(=O)c1ncn-2c1CN(C)C(=O)c3cc(F)ccc-23,0
Cc1ccc(C)c(OCCCC(C)(C)C(O)=O)c1,1
C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,0
COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(O)=O)c2c1,1
CC(CCc1ccccc1)NCC(O)c2ccc(O)c(c2)C(N)=O,1
Nc1nnc(c(N)n1)-c2cccc(Cl)c2Cl,1
CCOC(=O)N1CCC(CC1)=C2c3ccc(Cl)cc3CCc4cccnc24,0
CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl,0
Cc1cccc(Nc2ccccc2C(O)=O)c1C,1
CCOC(=O)C1(CCN(CC1)C)C2=CC=CC=C2,0
CCCC(C)(COC(N)=O)COC(N)=O,0
CN(C)C(=N)NC(N)=N,0
Cc1ncc(n1CCO)N(=O)=O,0
Nc1cc(nc(=N)n1O)N2CCCCC2,0
C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,0
CC(C)c1cc(OC(C)=O)c(C)cc1OCCN(C)C,1
CCC1=NN(C(=O)N1CCOC2=CC=CC=C2)CCCN3CCN(CC3)C4=CC(=CC=C4)Cl,1
C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)CN)O)O)N)O)O)N,0
C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],0
CC12CCC3C(C1CCC2(C)O)CCC4C3(CC(=CO)C(=O)C4)C,1
Nc1nc(O)c(o1)-c2ccccc2,1
CC(C)(CC1=CC=CC=C1)N,0
CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C,0
C1CCC(CC1)C(CCN2CCCC2)(C3=CC=CC=C3)O,0
C1C(=S)N(C2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3F)CC(F)(F)F,0
Oc1ccc(cc1)-c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4,0
CN1CCN(Cc2ccc(cc2)C(=O)Nc3ccc(C)c(Nc4nccc(n4)-c5cccnc5)c3)CC1,1
CC1=C(C2=C(C1=CC3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O,1
CC(C)(C)C#CC=CCN(C)CC1=CC=CC2=CC=CC=C21,1
c1nc(cs1)-c2nc3ccccc3[nH]2,1
C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl,1
NCC1CCC(CC1)C(O)=O,0
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(O)=O,1
Cc1c(C)c2OC(C)(COc3ccc(Cc4sc(O)nc4O)cc3)CCc2c(C)c1O,1
C1CC[N+]2(C1)C3CCC2CC(C3)OC(=O)C(C4=CC=CC=C4)(C5=CC=CC=C5)O,0
CCN(C(C)=O)c1cccc(c1)-c2ccnc3c(cnn23)C#N,0
CC(=O)OCC(=O)C1(CCC2C1(CC(=O)C3C2CCC4=CC(=O)CCC34C)C)O,0
[H][C@]12CN3C4=C(C(=O)C(N)=C(C)C4=O)[C@@]([H])(COC(N)=O)[C@@]3(OC)[C@@]1([H])N2,0
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,0
COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,0
CNCC(C1=CC(=C(C=C1)O)O)O,0
CC12CCC3C(C1CCC2(C)O)CCC4C3(COC(=O)C4)C,1
N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(O)=O,0
CN1CCc2cccc-3c2[C@H]1Cc4ccc(O)c(O)c-34,0
CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2O,1
Nc1nc2ncc(CNc3ccc(cc3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)nc2c(=O)[nH]1,0
Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,1
CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3(F)C(O)CC12C,1
CC1(CC(=O)N(C1=O)C)C2=CC=CC=C2,0
CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4,0
CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(O)=O,0
[O-][N+](=O)O[C@@H]1CO[C@@H]2[C@H](CO[C@H]12)O[N+]([O-])=O,0
CCN(CC)C(C)C(=O)C1=CC=CC=C1,0
OC(=O)c1cc(nc2ccccc12)-c3ccccc3,1
CCC(CO)NC(=O)C1CN(C2CC3=CN(C4=CC=CC(=C34)C2=C1)C)C,0
[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O,1
CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C,0
C[N+](C)(C)CC(CC(=O)[O-])O,0
Nc1ccc(cc1)S(=O)(=O)NC(O)=N,1
OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O,0
CC(=O)N[C@@H](CS)C(O)=O,0
CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,1
[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]3([H])[C@@]4([H])CCC(=O)C=C4CC[C@@]23[H],0
CC[C@]1(O)C[C@@H]2CN(C1)CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C)[C@@H]7[C@]68CC[N@@]9CC=C[C@](CC)([C@@H]89)[C@@H](OC(C)=O)[C@]7(O)C(=O)OC,0
Fc1ccc(cc1)C(CCCN2CCC(CC2)n3c4ccccc4[nH]c3=O)c5ccc(F)cc5,0
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)OC(=O)N(CCCl)CCCl,1
Cc1cn([C@@H]2O[C@H](CO)C=C2)c(=O)[nH]c1=O,1
CC1(C(=[N+](C2=C1C3=CC=CC=C3C=C2)CCCCS(=O)(=O)[O-])C=CC=CC=CC=C4C(C5=C(N4CCCCS(=O)(=O)[O-])C=CC6=CC=CC=C65)(C)C)C,0
CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](NC(N)=N)[C@@H](O)[C@@H]3NC(N)=N)O[C@@H](C)[C@]2(O)C=O,0
CN(C)CCCC1C2=CC=CC=C2NC3=C1C=C(C=C3)Cl,1
CC(=O)OC1CC2CCC3C(C2(CC1[N+]4(CCCCC4)C)C)CCC5(C3CC(C5OC(=O)C)[N+]6(CCCCC6)C)C,0
C[C@]12CC[C@H]3[C@@H](CCC4=Cc5oncc5C[C@]34C)[C@@H]1CC[C@@]2(O)C#C,1
CC(=O)N1C2=CC=CC=C2C(C1=O)(C3=CC=C(C=C3)OC(=O)C)C4=CC=C(C=C4)OC(=O)C,1
CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,0
COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(C)=O,0
C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)N=C(N=C2N)F,0
[H]OC([H])([H])C(=O)[C@@]1(O[H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]3(F)[C@@]([H])(O[H])C([H])([H])[C@]12C([H])([H])[H],0
CC1=C(C2=C(N1CC(=O)O)C=C(C=C2)OC)C(=O)C3=CC=C(C=C3)Cl,1
C1CC2=CC=CC=C2C(C3=CC=CC=C31)[NH2+]CCCCCCC(=O)O,1
Cc1cn(C2CC(N=N#N)C(CO)O2)c(=O)[nH]c1=O,1
CC(C1=CC(=C(C=C1)N2CC=CC2)Cl)C(=O)O,1
CC(CCC1=CC=C(C=C1)O)NCCC2=CC(=C(C=C2)O)O,0
CC(C)(C)NCC(COC1=CC=CC=C1C2CCCC2)O,0
C[C@](N)(Cc1ccc(O)c(O)c1)C(O)=O,1
COc1ccc(cc1)[C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O,1
CC(=O)OC1CC2CCC3C(C2(CC1N4CCCCC4)C)CCC5(C3CC(C5OC(=O)C)[N+]6(CCCCC6)C)C,0
CC(C1=CC2=C(C=C1)OC(=N2)C3=CC=C(C=C3)Cl)C(=O)O,1
C1=CC(=C(C(=C1C(=O)C2=CC(=C(C(=C2)O)O)O)O)O)O,1
C1C(C(OC1N2C=NC3=C2NC=NCC3O)CO)O,1
CCC12CC(=C)C3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34,1
CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CS3)COC,0
C[N+]1(CCC2=CC(=C(C=C2C1CC3=CC(=C(C=C3)OC)OC)OC)OC)CCC(=O)OCCCCCOC(=O)CC[N+]4(CCC5=CC(=C(C=C5C4CC6=CC(=C(C=C6)OC)OC)OC)OC)C,0
OC[C@@H]1CC[C@@H](O1)n2cnc3c2nc[nH]c3=O,1
CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC,0
CCCCN1CC(C(C(C1CO)O)O)O,0
CN(CC(=O)O)C(=S)C1=CC=CC2=C1C=CC(=C2C(F)(F)F)OC,1
CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-],1
C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,0
CCNC(=O)N(CCCN(C)C)C(=O)C1CC2C(CC3=CNC4=CC=CC2=C34)N(C1)CC=C,0
CCCN(CCC)C(=O)CC1=C(N=C2N1C=C(C=C2)Cl)C3=CC=C(C=C3)Cl,1
CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,1
CNCC(C(C(C(CO)O)O)O)O.C(CN(CC(=O)O)CC(=O)[O-])N(CCN(CC(=O)O)CC(=O)[O-])CC(=O)[O-],0
C1=CC=C(C=C1)C2(C(=O)N(C(=O)N2)COP(=O)(O)O)C3=CC=CC=C3,1
CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C(C)OC(C)C6=C(C7=CC8=C(C(=C(N8)C=C9C(=C(C(=N9)C=C1C(=C(C(=N1)C=C6N7)C)CCC(=O)O)CCC(=O)O)C)C)C(C)O)C)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C(C)O,0
CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O,0
CC(N(O)C(N)=O)c1cc2ccccc2s1,1
CC[C@@]1(O)C(=O)OCc2c1cc3-c4nc5ccc(O)c(CN(C)C)c5cc4Cn3c2=O,0
CC(CN1CCN(CCN(CCN(CC1)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])O,0
C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F,1
CCCCCCCN(CC)CCCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,0
CC1=CC(=C(C=C1)O)C(CCN(C(C)C)C(C)C)C2=CC=CC=C2,0
CC(C)c1c(C(=O)Nc2ccccc2)c(c(-c3ccc(F)cc3)n1CC[C@@H](O)C[C@@H](O)CC(O)=O)-c4ccccc4,1
CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O,0
C1=CC(=CC=C1SC(P(=O)(O)O)P(=O)(O)O)Cl,0
CCCCS(=O)(=O)NC(CC1=CC=C(C=C1)OCCCCC2CCNCC2)C(=O)O,0
Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O,0
